(0), addressbook, State1:state233, State2:state550, Human Classification:2, cosine similarity: 0.8932291269302368
(1), addressbook, State1:state543, State2:state700, Human Classification:2, cosine similarity: 0.8593748807907104
(2), addressbook, State1:state68, State2:state199, Human Classification:2, cosine similarity: 0.736979067325592
(3), addressbook, State1:state378, State2:state508, Human Classification:2, cosine similarity: 0.8645831346511841
(4), addressbook, State1:state27, State2:state364, Human Classification:2, cosine similarity: -1, SKIPPED (STATE27)
(5), addressbook, State1:state8, State2:state538, Human Classification:2, cosine similarity: 0.6536457538604736
(6), addressbook, State1:state526, State2:state724, Human Classification:1, cosine similarity: 0.9895832538604736
(7), addressbook, State1:state407, State2:state686, Human Classification:1, cosine similarity: 0.9895832538604736
(8), addressbook, State1:state64, State2:state202, Human Classification:2, cosine similarity: 0.6484374403953552
(9), addressbook, State1:state389, State2:state690, Human Classification:2, cosine similarity: 0.8645832538604736
(10), addressbook, State1:state269, State2:state727, Human Classification:1, cosine similarity: 0.9479165077209473
(11), addressbook, State1:state409, State2:state479, Human Classification:2, cosine similarity: 0.8489581942558289
(12), addressbook, State1:state400, State2:state634, Human Classification:2, cosine similarity: 0.8593748807907104
(13), addressbook, State1:state64, State2:state479, Human Classification:2, cosine similarity: 0.7031248807907104
(14), addressbook, State1:state315, State2:state420, Human Classification:1, cosine similarity: 0.9635415077209473
(15), addressbook, State1:state29, State2:state437, Human Classification:2, cosine similarity: 0.6953124403953552
(16), addressbook, State1:state5, State2:state378, Human Classification:2, cosine similarity: 0.6718748807907104
(17), addressbook, State1:state75, State2:state247, Human Classification:2, cosine similarity: 0.7161457538604736
(18), addressbook, State1:state64, State2:state464, Human Classification:2, cosine similarity: 0.6848957538604736
(19), addressbook, State1:state420, State2:state624, Human Classification:2, cosine similarity: 0.7161457538604736
(20), addressbook, State1:state517, State2:state713, Human Classification:1, cosine similarity: 0.9895832538604736
(21), addressbook, State1:state690, State2:state692, Human Classification:1, cosine similarity: 0.9895832538604736
(22), addressbook, State1:state493, State2:state560, Human Classification:2, cosine similarity: 0.7968749403953552
(23), addressbook, State1:state27, State2:state709, Human Classification:2, cosine similarity: -1, SKIPPED (STATE27)
(24), addressbook, State1:state16, State2:state647, Human Classification:2, cosine similarity: 0.7421874403953552
(25), addressbook, State1:state162, State2:state638, Human Classification:2, cosine similarity: 0.8645832538604736
