(0), addressbook, State1:state233, State2:state550, Human Classification:2, cosine similarity: 0.8958331942558289
(1), addressbook, State1:state543, State2:state700, Human Classification:2, cosine similarity: 0.8723956942558289
(2), addressbook, State1:state68, State2:state199, Human Classification:2, cosine similarity: 0.9296873807907104
(3), addressbook, State1:state378, State2:state508, Human Classification:2, cosine similarity: 0.9505206942558289
(4), addressbook, State1:state27, State2:state364, Human Classification:2, cosine similarity: 0.48437491059303284
(5), addressbook, State1:state8, State2:state538, Human Classification:2, cosine similarity: 0.8437498807907104
(6), addressbook, State1:state526, State2:state724, Human Classification:1, cosine similarity: 0.9973958134651184
(7), addressbook, State1:state407, State2:state686, Human Classification:1, cosine similarity: 0.9973958134651184
(8), addressbook, State1:state64, State2:state202, Human Classification:2, cosine similarity: 0.8984374403953552
(9), addressbook, State1:state389, State2:state690, Human Classification:2, cosine similarity: 0.9531248807907104
(10), addressbook, State1:state269, State2:state727, Human Classification:1, cosine similarity: 0.9895832538604736
(11), addressbook, State1:state409, State2:state479, Human Classification:2, cosine similarity: 0.8828124403953552
(12), addressbook, State1:state400, State2:state634, Human Classification:2, cosine similarity: 0.901041567325592
(13), addressbook, State1:state64, State2:state479, Human Classification:2, cosine similarity: 0.9010415077209473
(14), addressbook, State1:state315, State2:state420, Human Classification:1, cosine similarity: 0.9921874403953552
(15), addressbook, State1:state29, State2:state437, Human Classification:2, cosine similarity: 0.8880207538604736
(16), addressbook, State1:state5, State2:state378, Human Classification:2, cosine similarity: 0.8828123807907104
(17), addressbook, State1:state75, State2:state247, Human Classification:2, cosine similarity: 0.8645832538604736
(18), addressbook, State1:state64, State2:state464, Human Classification:2, cosine similarity: 0.869791567325592
(19), addressbook, State1:state420, State2:state624, Human Classification:2, cosine similarity: 0.8723956942558289
(20), addressbook, State1:state517, State2:state713, Human Classification:1, cosine similarity: 0.9973958134651184
(21), addressbook, State1:state690, State2:state692, Human Classification:1, cosine similarity: 0.9973958134651184
(22), addressbook, State1:state493, State2:state560, Human Classification:2, cosine similarity: 0.8645831942558289
(23), addressbook, State1:state27, State2:state709, Human Classification:2, cosine similarity: 0.5026041269302368
(24), addressbook, State1:state16, State2:state647, Human Classification:2, cosine similarity: 0.8776040077209473
(25), addressbook, State1:state162, State2:state638, Human Classification:2, cosine similarity: 0.8958332538604736
(26), addressbook, State1:state543, State2:state703, Human Classification:2, cosine similarity: 0.8723956942558289
(27), addressbook, State1:state520, State2:state583, Human Classification:1, cosine similarity: 0.9739581942558289
(28), addressbook, State1:state68, State2:state668, Human Classification:2, cosine similarity: 0.9427082538604736
