(0), addressbook, State1:state233, State2:state550, Human Classification:2, cosine similarity: 0.901041567325592
(1), addressbook, State1:state543, State2:state700, Human Classification:2, cosine similarity: 0.8984373807907104
(2), addressbook, State1:state68, State2:state199, Human Classification:2, cosine similarity: 0.9374998807907104
(3), addressbook, State1:state378, State2:state508, Human Classification:2, cosine similarity: 0.979166567325592
(4), addressbook, State1:state27, State2:state364, Human Classification:2, cosine similarity: 0.4869791269302368
(5), addressbook, State1:state8, State2:state538, Human Classification:2, cosine similarity: 0.8541666269302368
(6), addressbook, State1:state526, State2:state724, Human Classification:1, cosine similarity: 0.9973957538604736
(7), addressbook, State1:state407, State2:state686, Human Classification:1, cosine similarity: 0.9921874403953552
(8), addressbook, State1:state64, State2:state202, Human Classification:2, cosine similarity: 0.9166666269302368
(9), addressbook, State1:state389, State2:state690, Human Classification:2, cosine similarity: 0.9765623807907104
(10), addressbook, State1:state269, State2:state727, Human Classification:1, cosine similarity: 0.9843748807907104
(11), addressbook, State1:state409, State2:state479, Human Classification:2, cosine similarity: 0.908854067325592
(12), addressbook, State1:state400, State2:state634, Human Classification:2, cosine similarity: 0.901041567325592
(13), addressbook, State1:state64, State2:state479, Human Classification:2, cosine similarity: 0.9140623807907104
(14), addressbook, State1:state315, State2:state420, Human Classification:1, cosine similarity: 0.994791567325592
(15), addressbook, State1:state29, State2:state437, Human Classification:2, cosine similarity: 0.8593748807907104
(16), addressbook, State1:state5, State2:state378, Human Classification:2, cosine similarity: 0.8776040077209473
(17), addressbook, State1:state75, State2:state247, Human Classification:2, cosine similarity: 0.8593748807907104
(18), addressbook, State1:state64, State2:state464, Human Classification:2, cosine similarity: 0.8828123211860657
(19), addressbook, State1:state420, State2:state624, Human Classification:2, cosine similarity: 0.8593748211860657
(20), addressbook, State1:state517, State2:state713, Human Classification:1, cosine similarity: 0.994791567325592
(21), addressbook, State1:state690, State2:state692, Human Classification:1, cosine similarity: 0.9999999403953552
(22), addressbook, State1:state493, State2:state560, Human Classification:2, cosine similarity: 0.8723956942558289
(23), addressbook, State1:state27, State2:state709, Human Classification:2, cosine similarity: 0.4843749403953552
(24), addressbook, State1:state16, State2:state647, Human Classification:2, cosine similarity: 0.8541666269302368
(25), addressbook, State1:state162, State2:state638, Human Classification:2, cosine similarity: 0.8880206346511841
(26), addressbook, State1:state543, State2:state703, Human Classification:2, cosine similarity: 0.8984373807907104
(27), addressbook, State1:state520, State2:state583, Human Classification:1, cosine similarity: 0.9973957538604736
(28), addressbook, State1:state68, State2:state668, Human Classification:2, cosine similarity: 0.9114581942558289
(29), addressbook, State1:state233, State2:state538, Human Classification:2, cosine similarity: 0.901041567325592
(30), addressbook, State1:state389, State2:state597, Human Classification:2, cosine similarity: 0.979166567325592
(31), addressbook, State1:state340, State2:state619, Human Classification:2, cosine similarity: 0.9296873807907104
(32), addressbook, State1:state566, State2:state703, Human Classification:1, cosine similarity: 0.9999999403953552
(33), addressbook, State1:state143, State2:state512, Human Classification:1, cosine similarity: 0.9270832538604736
(34), addressbook, State1:state64, State2:state349, Human Classification:2, cosine similarity: 0.9166665077209473
(35), addressbook, State1:state308, State2:state713, Human Classification:1, cosine similarity: 0.9843748807907104
(36), addressbook, State1:state589, State2:state715, Human Classification:2, cosine similarity: 0.8880206942558289
(37), addressbook, State1:state10, State2:state597, Human Classification:2, cosine similarity: 0.9088541269302368
(38), addressbook, State1:state138, State2:state560, Human Classification:2, cosine similarity: 0.8776041269302368
(39), addressbook, State1:state437, State2:state560, Human Classification:2, cosine similarity: 0.979166567325592
(40), addressbook, State1:state520, State2:state550, Human Classification:1, cosine similarity: 0.9973957538604736
(41), addressbook, State1:state597, State2:state624, Human Classification:2, cosine similarity: 0.8593748211860657
(42), addressbook, State1:state27, State2:state257, Human Classification:2, cosine similarity: 0.497395783662796
(43), addressbook, State1:state364, State2:state532, Human Classification:2, cosine similarity: 0.9062499403953552
(44), addressbook, State1:state3, State2:state624, Human Classification:2, cosine similarity: 0.8723957538604736
(45), addressbook, State1:state247, State2:state318, Human Classification:1, cosine similarity: 0.9869790077209473
(46), addressbook, State1:state6, State2:state293, Human Classification:2, cosine similarity: 0.8749998807907104
(47), addressbook, State1:state278, State2:state647, Human Classification:2, cosine similarity: 0.9296873807907104
(48), addressbook, State1:state173, State2:state355, Human Classification:2, cosine similarity: 0.8906249403953552
(49), addressbook, State1:state38, State2:state355, Human Classification:2, cosine similarity: 0.8437498211860657
(50), addressbook, State1:state677, State2:state679, Human Classification:2, cosine similarity: 0.8932290077209473
(51), addressbook, State1:state33, State2:state247, Human Classification:2, cosine similarity: 0.8333331346511841
(52), addressbook, State1:index, State2:state68, Human Classification:2, cosine similarity: 0.9531249403953552
(53), addressbook, State1:state252, State2:state269, Human Classification:1, cosine similarity: 0.9947916269302368
(54), addressbook, State1:state75, State2:state162, Human Classification:2, cosine similarity: 0.7499998807907104
(55), addressbook, State1:state269, State2:state400, Human Classification:1, cosine similarity: 0.9921874403953552
(56), addressbook, State1:state6, State2:state434, Human Classification:2, cosine similarity: 0.8723957538604736
(57), addressbook, State1:state355, State2:state721, Human Classification:2, cosine similarity: 0.893229067325592
(58), addressbook, State1:state249, State2:state703, Human Classification:1, cosine similarity: 0.9765623807907104
(59), addressbook, State1:state165, State2:state715, Human Classification:1, cosine similarity: 0.9505207538604736
(60), addressbook, State1:state187, State2:state400, Human Classification:2, cosine similarity: 0.9739582538604736
(61), addressbook, State1:state331, State2:state479, Human Classification:2, cosine similarity: 0.908854067325592
(62), addressbook, State1:state692, State2:state697, Human Classification:1, cosine similarity: 0.9999999403953552
(63), addressbook, State1:state3, State2:state660, Human Classification:2, cosine similarity: 0.8723957538604736
(64), addressbook, State1:state138, State2:state721, Human Classification:2, cosine similarity: 0.8906248807907104
(65), addressbook, State1:state437, State2:state523, Human Classification:1, cosine similarity: 0.994791567325592
(66), addressbook, State1:state455, State2:state721, Human Classification:2, cosine similarity: 0.908854067325592
(67), addressbook, State1:state176, State2:state589, Human Classification:2, cosine similarity: 0.8984373807907104
(68), addressbook, State1:state346, State2:state355, Human Classification:2, cosine similarity: 0.8984373211860657
(69), addressbook, State1:state3, State2:state514, Human Classification:2, cosine similarity: 0.8749998807907104
(70), addressbook, State1:state308, State2:state536, Human Classification:1, cosine similarity: 0.986979067325592
(71), addressbook, State1:state173, State2:state589, Human Classification:2, cosine similarity: 0.8906249403953552
(72), addressbook, State1:state211, State2:state378, Human Classification:2, cosine similarity: 0.9687498807907104
(73), addressbook, State1:state412, State2:state589, Human Classification:1, cosine similarity: 0.9973958134651184
(74), addressbook, State1:state493, State2:state686, Human Classification:2, cosine similarity: 0.8958331942558289
(75), addressbook, State1:state318, State2:state713, Human Classification:1, cosine similarity: 0.986979067325592
(76), addressbook, State1:state29, State2:state57, Human Classification:2, cosine similarity: 0.8932289481163025
(77), addressbook, State1:index, State2:state216, Human Classification:2, cosine similarity: 0.901041567325592
(78), addressbook, State1:state400, State2:state512, Human Classification:1, cosine similarity: 0.9947916269302368
(79), addressbook, State1:state165, State2:state420, Human Classification:1, cosine similarity: 0.9583333134651184
(80), addressbook, State1:state57, State2:state532, Human Classification:2, cosine similarity: 0.8802081942558289
(81), addressbook, State1:state275, State2:state523, Human Classification:2, cosine similarity: 0.979166567325592
(82), addressbook, State1:state257, State2:state293, Human Classification:2, cosine similarity: 0.9322916269302368
(83), addressbook, State1:state403, State2:state668, Human Classification:2, cosine similarity: 0.901041567325592
(84), addressbook, State1:state344, State2:state378, Human Classification:2, cosine similarity: 0.9739582538604736
(85), addressbook, State1:state5, State2:state397, Human Classification:2, cosine similarity: 0.8802082538604736
(86), addressbook, State1:state187, State2:state647, Human Classification:2, cosine similarity: 0.8749998807907104
(87), addressbook, State1:state3, State2:state543, Human Classification:2, cosine similarity: 0.8255206942558289
(88), addressbook, State1:state278, State2:state355, Human Classification:1, cosine similarity: 0.9999999403953552
(89), addressbook, State1:state321, State2:state560, Human Classification:1, cosine similarity: 0.9921874403953552
(90), addressbook, State1:state606, State2:state619, Human Classification:2, cosine similarity: 0.8958331942558289
(91), addressbook, State1:state50, State2:state543, Human Classification:2, cosine similarity: 0.8671873807907104
(92), addressbook, State1:state54, State2:state150, Human Classification:2, cosine similarity: 0.971354067325592
(93), addressbook, State1:state257, State2:state318, Human Classification:2, cosine similarity: 0.9010415077209473
(94), addressbook, State1:state10, State2:state493, Human Classification:2, cosine similarity: 0.9114581942558289
(95), addressbook, State1:state29, State2:state432, Human Classification:2, cosine similarity: 0.8593748807907104
(96), addressbook, State1:state593, State2:state677, Human Classification:1, cosine similarity: 0.9973957538604736
(97), addressbook, State1:state432, State2:state526, Human Classification:1, cosine similarity: 0.9973957538604736
(98), addressbook, State1:state138, State2:state409, Human Classification:2, cosine similarity: 0.8463540077209473
(99), addressbook, State1:state364, State2:state709, Human Classification:2, cosine similarity: 0.9062499403953552
(100), addressbook, State1:state38, State2:state403, Human Classification:2, cosine similarity: 0.8359374403953552
(101), addressbook, State1:state54, State2:state727, Human Classification:2, cosine similarity: 0.9088541269302368
(102), addressbook, State1:state501, State2:state517, Human Classification:2, cosine similarity: 0.8593748211860657
(103), addressbook, State1:state50, State2:state606, Human Classification:2, cosine similarity: 0.9088541269302368
(104), addressbook, State1:state272, State2:state700, Human Classification:1, cosine similarity: 0.9843748807907104
(105), addressbook, State1:state187, State2:state378, Human Classification:1, cosine similarity: 0.9765623807907104
(106), addressbook, State1:state459, State2:state638, Human Classification:2, cosine similarity: 0.8437498807907104
(107), addressbook, State1:state272, State2:state692, Human Classification:1, cosine similarity: 0.9843748807907104
(108), addressbook, State1:state150, State2:state638, Human Classification:2, cosine similarity: 0.8749999403953552
(109), addressbook, State1:state38, State2:state651, Human Classification:2, cosine similarity: 0.7734373807907104
(110), addressbook, State1:state647, State2:state651, Human Classification:2, cosine similarity: 0.8489581942558289
(111), addressbook, State1:state249, State2:state523, Human Classification:1, cosine similarity: 0.9765623807907104
(112), addressbook, State1:state6, State2:state459, Human Classification:2, cosine similarity: 0.8749998807907104
(113), addressbook, State1:state318, State2:state589, Human Classification:2, cosine similarity: 0.8932290077209473
(114), addressbook, State1:state272, State2:state668, Human Classification:2, cosine similarity: 0.9036457538604736
(115), addressbook, State1:state75, State2:state563, Human Classification:2, cosine similarity: 0.8567706942558289
(116), addressbook, State1:state455, State2:state713, Human Classification:2, cosine similarity: 0.908854067325592
(117), addressbook, State1:state150, State2:state400, Human Classification:1, cosine similarity: 0.9453124403953552
(118), addressbook, State1:state257, State2:state520, Human Classification:2, cosine similarity: 0.8984373807907104
(119), addressbook, State1:state54, State2:state392, Human Classification:2, cosine similarity: 0.9166665077209473
(120), addressbook, State1:state318, State2:state479, Human Classification:1, cosine similarity: 0.9895832538604736
(121), addressbook, State1:state349, State2:state718, Human Classification:1, cosine similarity: 0.9921874403953552
(122), addressbook, State1:state243, State2:state532, Human Classification:1, cosine similarity: 0.971354067325592
(123), addressbook, State1:state143, State2:state703, Human Classification:1, cosine similarity: 0.924479067325592
(124), addressbook, State1:state252, State2:state489, Human Classification:1, cosine similarity: 0.9843748807907104
(125), addressbook, State1:state10, State2:state677, Human Classification:2, cosine similarity: 0.8619790077209473
(126), addressbook, State1:state64, State2:state489, Human Classification:2, cosine similarity: 0.9140623807907104
(127), addressbook, State1:state523, State2:state681, Human Classification:1, cosine similarity: 0.9999999403953552
(128), addressbook, State1:state392, State2:state538, Human Classification:1, cosine similarity: 0.9921874403953552
(129), addressbook, State1:state211, State2:state489, Human Classification:1, cosine similarity: 0.9765624403953552
(130), addressbook, State1:state443, State2:state706, Human Classification:1, cosine similarity: 0.994791567325592
(131), addressbook, State1:state141, State2:state619, Human Classification:2, cosine similarity: 0.875
(132), addressbook, State1:state165, State2:state597, Human Classification:1, cosine similarity: 0.9505207538604736
(133), addressbook, State1:state713, State2:state727, Human Classification:1, cosine similarity: 0.9973957538604736
(134), addressbook, State1:state340, State2:state575, Human Classification:2, cosine similarity: 0.893229067325592
(135), addressbook, State1:state8, State2:state681, Human Classification:2, cosine similarity: 0.8541666269302368
(136), addressbook, State1:state68, State2:state493, Human Classification:2, cosine similarity: 0.9114581942558289
(137), addressbook, State1:state340, State2:state677, Human Classification:2, cosine similarity: 0.9348957538604736
(138), addressbook, State1:state27, State2:state331, Human Classification:2, cosine similarity: 0.4921874701976776
(139), addressbook, State1:index, State2:state138, Human Classification:2, cosine similarity: 0.9453124403953552
(140), addressbook, State1:state196, State2:state340, Human Classification:2, cosine similarity: 0.901041567325592
(141), addressbook, State1:state165, State2:state593, Human Classification:2, cosine similarity: 0.8828124403953552
(142), addressbook, State1:state321, State2:state493, Human Classification:2, cosine similarity: 0.8723956942558289
(143), addressbook, State1:state506, State2:state566, Human Classification:1, cosine similarity: 0.9947916269302368
(144), addressbook, State1:state68, State2:state378, Human Classification:2, cosine similarity: 0.9114581942558289
(145), addressbook, State1:state33, State2:state344, Human Classification:2, cosine similarity: 0.8359373211860657
(146), addressbook, State1:state443, State2:state656, Human Classification:2, cosine similarity: 0.901041567325592
(147), addressbook, State1:state39, State2:state397, Human Classification:2, cosine similarity: 0.9140623807907104
(148), addressbook, State1:state275, State2:state512, Human Classification:2, cosine similarity: 0.979166567325592
(149), addressbook, State1:state331, State2:state464, Human Classification:2, cosine similarity: 0.9348957538604736
(150), addressbook, State1:state239, State2:state403, Human Classification:2, cosine similarity: 0.9192706942558289
(151), addressbook, State1:state150, State2:state697, Human Classification:1, cosine similarity: 0.9374998807907104
(152), addressbook, State1:state403, State2:state479, Human Classification:1, cosine similarity: 0.9973958134651184
(153), addressbook, State1:state50, State2:state697, Human Classification:2, cosine similarity: 0.9088541269302368
(154), addressbook, State1:state479, State2:state706, Human Classification:1, cosine similarity: 0.994791567325592
(155), addressbook, State1:state54, State2:state634, Human Classification:2, cosine similarity: 0.9114581942558289
(156), addressbook, State1:state6, State2:state619, Human Classification:2, cosine similarity: 0.9062499403953552
(157), addressbook, State1:state412, State2:state560, Human Classification:2, cosine similarity: 0.8697915077209473
(158), addressbook, State1:state355, State2:state593, Human Classification:2, cosine similarity: 0.9348957538604736
(159), addressbook, State1:state196, State2:state412, Human Classification:2, cosine similarity: 0.8958331942558289
(160), addressbook, State1:state29, State2:state520, Human Classification:2, cosine similarity: 0.8593748807907104
(161), addressbook, State1:index, State2:state29, Human Classification:2, cosine similarity: 0.9427082538604736
(162), addressbook, State1:state321, State2:state437, Human Classification:2, cosine similarity: 0.979166567325592
(163), addressbook, State1:state38, State2:state713, Human Classification:2, cosine similarity: 0.830729067325592
