(0), addressbook, State1:state233, State2:state550, Human Classification:2, cosine similarity: 0.8880206942558289
(1), addressbook, State1:state543, State2:state700, Human Classification:2, cosine similarity: 0.8411456942558289
(2), addressbook, State1:state68, State2:state199, Human Classification:2, cosine similarity: 0.713541567325592
(3), addressbook, State1:state378, State2:state508, Human Classification:2, cosine similarity: 0.861979067325592
(4), addressbook, State1:state27, State2:state364, Human Classification:2, cosine similarity: -1, SKIPPED (STATE27)
(5), addressbook, State1:state8, State2:state538, Human Classification:2, cosine similarity: 0.6119791269302368
(6), addressbook, State1:state526, State2:state724, Human Classification:1, cosine similarity: 0.9921873807907104
(7), addressbook, State1:state407, State2:state686, Human Classification:1, cosine similarity: 0.9895832538604736
(8), addressbook, State1:state64, State2:state202, Human Classification:2, cosine similarity: 0.7734373807907104
(9), addressbook, State1:state389, State2:state690, Human Classification:2, cosine similarity: 0.8645831942558289
(10), addressbook, State1:state269, State2:state727, Human Classification:1, cosine similarity: 0.9401041269302368
(11), addressbook, State1:state409, State2:state479, Human Classification:2, cosine similarity: 0.84375
(12), addressbook, State1:state400, State2:state634, Human Classification:2, cosine similarity: 0.838541567325592
(13), addressbook, State1:state64, State2:state479, Human Classification:2, cosine similarity: 0.6953123807907104
(14), addressbook, State1:state315, State2:state420, Human Classification:1, cosine similarity: 0.9661457538604736
(15), addressbook, State1:state29, State2:state437, Human Classification:2, cosine similarity: 0.7031248211860657
(16), addressbook, State1:state5, State2:state378, Human Classification:2, cosine similarity: 0.658854067325592
(17), addressbook, State1:state75, State2:state247, Human Classification:2, cosine similarity: 0.7083332538604736
(18), addressbook, State1:state64, State2:state464, Human Classification:2, cosine similarity: 0.6744791269302368
(19), addressbook, State1:state420, State2:state624, Human Classification:2, cosine similarity: 0.7239582538604736
(20), addressbook, State1:state517, State2:state713, Human Classification:1, cosine similarity: 0.9921874403953552
(21), addressbook, State1:state690, State2:state692, Human Classification:1, cosine similarity: 0.994791567325592
(22), addressbook, State1:state493, State2:state560, Human Classification:2, cosine similarity: 0.7734373807907104
(23), addressbook, State1:state27, State2:state709, Human Classification:2, cosine similarity: -1, SKIPPED (STATE27)
(24), addressbook, State1:state16, State2:state647, Human Classification:2, cosine similarity: 0.7187498807907104
(25), addressbook, State1:state162, State2:state638, Human Classification:2, cosine similarity: 0.8593748807907104
(26), addressbook, State1:state543, State2:state703, Human Classification:2, cosine similarity: 0.8411456942558289
(27), addressbook, State1:state520, State2:state583, Human Classification:1, cosine similarity: 0.9973957538604736
(28), addressbook, State1:state68, State2:state668, Human Classification:2, cosine similarity: 0.7473957538604736
(29), addressbook, State1:state233, State2:state538, Human Classification:2, cosine similarity: 0.8906248807907104
(30), addressbook, State1:state389, State2:state597, Human Classification:2, cosine similarity: 0.8645831942558289
(31), addressbook, State1:state340, State2:state619, Human Classification:2, cosine similarity: 0.8802081346511841
(32), addressbook, State1:state566, State2:state703, Human Classification:1, cosine similarity: 0.9999999403953552
(33), addressbook, State1:state143, State2:state512, Human Classification:1, cosine similarity: 0.7812498807907104
(34), addressbook, State1:state64, State2:state349, Human Classification:2, cosine similarity: 0.7135415077209473
(35), addressbook, State1:state308, State2:state713, Human Classification:1, cosine similarity: 0.9505207538604736
(36), addressbook, State1:state589, State2:state715, Human Classification:2, cosine similarity: 0.901041567325592
(37), addressbook, State1:state10, State2:state597, Human Classification:2, cosine similarity: 0.6796873807907104
(38), addressbook, State1:state138, State2:state560, Human Classification:2, cosine similarity: 0.7005207538604736
(39), addressbook, State1:state437, State2:state560, Human Classification:2, cosine similarity: 0.8567707538604736
(40), addressbook, State1:state520, State2:state550, Human Classification:1, cosine similarity: 0.9947916269302368
(41), addressbook, State1:state597, State2:state624, Human Classification:2, cosine similarity: 0.713541567325592
(42), addressbook, State1:state27, State2:state257, Human Classification:2, cosine similarity: -1, SKIPPED (STATE27)
(43), addressbook, State1:state364, State2:state532, Human Classification:2, cosine similarity: 0.8437498807907104
(44), addressbook, State1:state3, State2:state624, Human Classification:2, cosine similarity: 0.5703123807907104
(45), addressbook, State1:state247, State2:state318, Human Classification:1, cosine similarity: 0.9531248807907104
(46), addressbook, State1:state6, State2:state293, Human Classification:2, cosine similarity: 0.5781249403953552
(47), addressbook, State1:state278, State2:state647, Human Classification:2, cosine similarity: 0.8958332538604736
(48), addressbook, State1:state173, State2:state355, Human Classification:2, cosine similarity: 0.6796874403953552
(49), addressbook, State1:state38, State2:state355, Human Classification:2, cosine similarity: 0.5677082538604736
(50), addressbook, State1:state677, State2:state679, Human Classification:2, cosine similarity: 0.8411456942558289
(51), addressbook, State1:state33, State2:state247, Human Classification:2, cosine similarity: 0.7265623807907104
(52), addressbook, State1:index, State2:state68, Human Classification:2, cosine similarity: 0.7942706942558289
(53), addressbook, State1:state252, State2:state269, Human Classification:1, cosine similarity: 0.9895832538604736
(54), addressbook, State1:state75, State2:state162, Human Classification:2, cosine similarity: 0.9192707538604736
(55), addressbook, State1:state269, State2:state400, Human Classification:1, cosine similarity: 0.9609374403953552
(56), addressbook, State1:state6, State2:state434, Human Classification:2, cosine similarity: 0.5989583134651184
(57), addressbook, State1:state355, State2:state721, Human Classification:2, cosine similarity: 0.8984373211860657
(58), addressbook, State1:state249, State2:state703, Human Classification:1, cosine similarity: 0.9244790077209473
