(0), addressbook, State1:state233, State2:state550, Human Classification:2, cosine similarity: 0.9010415077209473
(1), addressbook, State1:state543, State2:state700, Human Classification:2, cosine similarity: 0.8515623807907104
(2), addressbook, State1:state68, State2:state199, Human Classification:2, cosine similarity: 0.924479067325592
(3), addressbook, State1:state378, State2:state508, Human Classification:2, cosine similarity: 0.9531248807907104
(4), addressbook, State1:state27, State2:state364, Human Classification:2, cosine similarity: 0.7031248807907104
(5), addressbook, State1:state8, State2:state538, Human Classification:2, cosine similarity: 0.854166567325592
(6), addressbook, State1:state526, State2:state724, Human Classification:1, cosine similarity: 0.9921874403953552
(7), addressbook, State1:state407, State2:state686, Human Classification:1, cosine similarity: 0.9947916269302368
(8), addressbook, State1:state64, State2:state202, Human Classification:2, cosine similarity: 0.9218749403953552
(9), addressbook, State1:state389, State2:state690, Human Classification:2, cosine similarity: 0.9505207538604736
(10), addressbook, State1:state269, State2:state727, Human Classification:1, cosine similarity: 0.9739582538604736
(11), addressbook, State1:state409, State2:state479, Human Classification:2, cosine similarity: 0.8593749403953552
(12), addressbook, State1:state400, State2:state634, Human Classification:2, cosine similarity: 0.9036457538604736
(13), addressbook, State1:state64, State2:state479, Human Classification:2, cosine similarity: 0.901041567325592
(14), addressbook, State1:state315, State2:state420, Human Classification:1, cosine similarity: 0.9869791269302368
(15), addressbook, State1:state29, State2:state437, Human Classification:2, cosine similarity: 0.8802081942558289
(16), addressbook, State1:state5, State2:state378, Human Classification:2, cosine similarity: 0.8776041269302368
(17), addressbook, State1:state75, State2:state247, Human Classification:2, cosine similarity: 0.8854165077209473
(18), addressbook, State1:state64, State2:state464, Human Classification:2, cosine similarity: 0.8671873807907104
(19), addressbook, State1:state420, State2:state624, Human Classification:2, cosine similarity: 0.869791567325592
(20), addressbook, State1:state517, State2:state713, Human Classification:1, cosine similarity: 0.9895832538604736
(21), addressbook, State1:state690, State2:state692, Human Classification:1, cosine similarity: 0.9973957538604736
(22), addressbook, State1:state493, State2:state560, Human Classification:2, cosine similarity: 0.8697915077209473
(23), addressbook, State1:state27, State2:state709, Human Classification:2, cosine similarity: 0.7317707538604736
(24), addressbook, State1:state16, State2:state647, Human Classification:2, cosine similarity: 0.8880206942558289
(25), addressbook, State1:state162, State2:state638, Human Classification:2, cosine similarity: 0.8932290077209473
(26), addressbook, State1:state543, State2:state703, Human Classification:2, cosine similarity: 0.8541666269302368
(27), addressbook, State1:state520, State2:state583, Human Classification:1, cosine similarity: 0.9947916269302368
(28), addressbook, State1:state68, State2:state668, Human Classification:2, cosine similarity: 0.9322916269302368
(29), addressbook, State1:state233, State2:state538, Human Classification:2, cosine similarity: 0.9010415077209473
(30), addressbook, State1:state389, State2:state597, Human Classification:2, cosine similarity: 0.9505207538604736
(31), addressbook, State1:state340, State2:state619, Human Classification:2, cosine similarity: 0.9140624403953552
(32), addressbook, State1:state566, State2:state703, Human Classification:1, cosine similarity: 0.994791567325592
(33), addressbook, State1:state143, State2:state512, Human Classification:1, cosine similarity: 0.924479067325592
(34), addressbook, State1:state64, State2:state349, Human Classification:2, cosine similarity: 0.9062498807907104
(35), addressbook, State1:state308, State2:state713, Human Classification:1, cosine similarity: 0.971354067325592
(36), addressbook, State1:state589, State2:state715, Human Classification:2, cosine similarity: 0.8984373807907104
(37), addressbook, State1:state10, State2:state597, Human Classification:2, cosine similarity: 0.893229067325592
(38), addressbook, State1:state138, State2:state560, Human Classification:2, cosine similarity: 0.8593748807907104
(39), addressbook, State1:state437, State2:state560, Human Classification:2, cosine similarity: 0.9427082538604736
(40), addressbook, State1:state520, State2:state550, Human Classification:1, cosine similarity: 0.9947916269302368
(41), addressbook, State1:state597, State2:state624, Human Classification:2, cosine similarity: 0.8645832538604736
(42), addressbook, State1:state27, State2:state257, Human Classification:2, cosine similarity: 0.7473957538604736
(43), addressbook, State1:state364, State2:state532, Human Classification:2, cosine similarity: 0.8645831942558289
(44), addressbook, State1:state3, State2:state624, Human Classification:2, cosine similarity: 0.8749998211860657
(45), addressbook, State1:state247, State2:state318, Human Classification:1, cosine similarity: 0.979166567325592
(46), addressbook, State1:state6, State2:state293, Human Classification:2, cosine similarity: 0.8463541269302368
(47), addressbook, State1:state278, State2:state647, Human Classification:2, cosine similarity: 0.9166666269302368
(48), addressbook, State1:state173, State2:state355, Human Classification:2, cosine similarity: 0.8515623807907104
(49), addressbook, State1:state38, State2:state355, Human Classification:2, cosine similarity: 0.8411456942558289
(50), addressbook, State1:state677, State2:state679, Human Classification:2, cosine similarity: 0.8489582538604736
(51), addressbook, State1:state33, State2:state247, Human Classification:2, cosine similarity: 0.9062498211860657
(52), addressbook, State1:index, State2:state68, Human Classification:2, cosine similarity: 0.9453123807907104
(53), addressbook, State1:state252, State2:state269, Human Classification:1, cosine similarity: 0.9947916269302368
(54), addressbook, State1:state75, State2:state162, Human Classification:2, cosine similarity: 0.9583332538604736
(55), addressbook, State1:state269, State2:state400, Human Classification:1, cosine similarity: 0.9843749403953552
(56), addressbook, State1:state6, State2:state434, Human Classification:2, cosine similarity: 0.8802082538604736
(57), addressbook, State1:state355, State2:state721, Human Classification:2, cosine similarity: 0.9010416269302368
(58), addressbook, State1:state249, State2:state703, Human Classification:1, cosine similarity: 0.963541567325592
(59), addressbook, State1:state165, State2:state715, Human Classification:1, cosine similarity: 0.932291567325592
(60), addressbook, State1:state187, State2:state400, Human Classification:2, cosine similarity: 0.9453123807907104
(61), addressbook, State1:state331, State2:state479, Human Classification:2, cosine similarity: 0.877604067325592
