(0), addressbook, State1:state233, State2:state550, Human Classification:2, cosine similarity: 0.8984373807907104
(1), addressbook, State1:state543, State2:state700, Human Classification:2, cosine similarity: 0.8906248807907104
(2), addressbook, State1:state68, State2:state199, Human Classification:2, cosine similarity: 0.932291567325592
(3), addressbook, State1:state378, State2:state508, Human Classification:2, cosine similarity: 0.9765623807907104
(4), addressbook, State1:state27, State2:state364, Human Classification:2, cosine similarity: 0.7317707538604736
(5), addressbook, State1:state8, State2:state538, Human Classification:2, cosine similarity: 0.8333332538604736
(6), addressbook, State1:state526, State2:state724, Human Classification:1, cosine similarity: 0.9999999403953552
(7), addressbook, State1:state407, State2:state686, Human Classification:1, cosine similarity: 0.9895832538604736
(8), addressbook, State1:state64, State2:state202, Human Classification:2, cosine similarity: 0.9192706942558289
(9), addressbook, State1:state389, State2:state690, Human Classification:2, cosine similarity: 0.9739581942558289
(10), addressbook, State1:state269, State2:state727, Human Classification:1, cosine similarity: 0.9843748807907104
(11), addressbook, State1:state409, State2:state479, Human Classification:2, cosine similarity: 0.9036457538604736
(12), addressbook, State1:state400, State2:state634, Human Classification:2, cosine similarity: 0.8906248807907104
(13), addressbook, State1:state64, State2:state479, Human Classification:2, cosine similarity: 0.9114581942558289
(14), addressbook, State1:state315, State2:state420, Human Classification:1, cosine similarity: 0.994791567325592
(15), addressbook, State1:state29, State2:state437, Human Classification:2, cosine similarity: 0.8828123807907104
(16), addressbook, State1:state5, State2:state378, Human Classification:2, cosine similarity: 0.8906249403953552
(17), addressbook, State1:state75, State2:state247, Human Classification:2, cosine similarity: 0.8854164481163025
(18), addressbook, State1:state64, State2:state464, Human Classification:2, cosine similarity: 0.8880206942558289
(19), addressbook, State1:state420, State2:state624, Human Classification:2, cosine similarity: 0.8802081942558289
(20), addressbook, State1:state517, State2:state713, Human Classification:1, cosine similarity: 0.9973957538604736
(21), addressbook, State1:state690, State2:state692, Human Classification:1, cosine similarity: 0.9999999403953552
(22), addressbook, State1:state493, State2:state560, Human Classification:2, cosine similarity: 0.8828124403953552
(23), addressbook, State1:state27, State2:state709, Human Classification:2, cosine similarity: 0.7109374403953552
(24), addressbook, State1:state16, State2:state647, Human Classification:2, cosine similarity: 0.9062498807907104
(25), addressbook, State1:state162, State2:state638, Human Classification:2, cosine similarity: 0.901041567325592
(26), addressbook, State1:state543, State2:state703, Human Classification:2, cosine similarity: 0.8906248807907104
(27), addressbook, State1:state520, State2:state583, Human Classification:1, cosine similarity: 0.9973957538604736
(28), addressbook, State1:state68, State2:state668, Human Classification:2, cosine similarity: 0.9505207538604736
(29), addressbook, State1:state233, State2:state538, Human Classification:2, cosine similarity: 0.8984373807907104
(30), addressbook, State1:state389, State2:state597, Human Classification:2, cosine similarity: 0.9739581942558289
(31), addressbook, State1:state340, State2:state619, Human Classification:2, cosine similarity: 0.9036456942558289
(32), addressbook, State1:state566, State2:state703, Human Classification:1, cosine similarity: 0.9999999403953552
(33), addressbook, State1:state143, State2:state512, Human Classification:1, cosine similarity: 0.9218748807907104
